400.0745	8037
402.597	7986
405.1208	8055
407.6419	7969
410.1623	8068
412.6819	8098
415.201	8213
417.7172	8233
420.2369	8194
422.7538	8331
425.2701	8456
427.7856	8430
430.3005	8495
432.8147	8526
435.3282	8539
437.841	8556
440.3511	8432
442.8625	8536
445.3753	8605
447.8854	8541
450.3927	8564
452.9014	8715
455.4073	8531
457.9146	8680
460.4233	8729
462.9272	8657
465.4325	8583
467.935	8685
470.4389	8699
472.9421	8683
475.4446	8712
477.9444	8625
480.4456	8647
482.944	8754
485.4417	8632
487.9429	8826
490.4393	8812
492.935	8816
495.4321	8858
497.9264	9030
500.4221	9160
502.9171	8965
505.4094	8967
507.9011	9023
510.392	8990
512.8864	9013
515.3759	9098
517.8649	8968
520.3531	9083
522.8406	9068
525.3275	8989
527.8178	8958
530.3033	8961
532.7881	9056
535.2723	9084
537.7558	9034
540.2407	9012
542.7228	9087
545.2043	9095
547.6851	9174
550.1652	9155
552.6467	9106
555.1255	9108
557.6016	9153
560.079	9108
562.5557	9280
565.0318	9169
567.5092	9177
569.984	9275
572.456	9251
574.9294	9257
577.4022	9533
579.8762	9372
582.3456	9500
584.8163	9304
587.2863	9353
589.7557	9557
592.2224	9398
594.6924	9438
597.1578	9514
599.6245	9366
602.0905	9430
604.5538	9382
607.0206	9386
609.4825	9533
611.9459	9377
614.4066	9256
616.8686	9501
619.33	9392
621.7906	9285
624.2487	9377
626.708	9552
629.1647	9539
631.6207	9521
634.0801	9435
636.5348	9429
638.9888	9558
641.4442	9488
643.8969	9571
646.3509	9532
648.8022	9506
651.255	9589
653.705	9521
656.1544	9593
658.6031	9713
661.0532	9638
663.5026	9614
665.9493	9553
668.3954	9610
670.8409	9726
673.2877	9587
675.7318	9604
678.1752	9766
680.618	9783
683.0601	9844
685.5035	9826
687.9444	9783
690.3845	9813
692.824	9782
695.2628	9876
697.701	9795
700.1406	9885
702.5774	9919
705.0116	9543
707.4472	9832
709.8821	9881
712.3183	10054
714.7519	9920
717.1829	9931
719.6151	10139
722.0468	10111
724.4777	10131
726.908	10064
729.3377	10045
731.7667	10062
734.1931	10190
736.6208	10070
739.0498	10107
741.4742	10202
743.9	10299
746.3231	10220
748.7476	10334
751.1713	10189
753.5945	10489
756.015	10503
758.4368	10594
760.856	10309
763.2766	10495
765.6965	10344
768.1157	10466
770.5323	10430
772.9483	10462
775.3656	10550
777.7822	10585
780.1963	10510
782.6116	10610
785.0244	10529
787.4365	10692
789.8499	10544
792.2626	10655
794.6728	10333
797.0823	10609
799.4911	10536
801.8994	10615
804.3109	10481
806.7178	10633
809.124	10629
811.5297	10668
813.9347	10633
816.341	10567
818.7447	10522
821.1478	10624
823.5502	10736
825.952	10752
828.3531	10620
830.7556	10550
833.1554	10688
835.5546	10644
837.9532	10817
840.3511	10640
842.7504	10742
845.1451	10782
847.5411	10846
849.9365	10768
852.3312	10778
854.7272	10768
857.1187	10762
859.5115	10772
861.9037	10698
864.2952	10818
866.6842	10786
869.0764	10803
871.4661	10747
873.8531	10890
876.2415	10826
878.6272	10717
881.0162	10736
883.4026	10749
885.7866	10883
888.1717	10729
890.5543	10534
892.9382	10802
895.3215	10794
897.7041	10700
900.0842	10495
902.4655	10861
904.8443	10831
907.2244	10823
909.6039	10873
911.9808	10803
914.357	10954
916.7346	10925
919.1115	10979
921.4859	11033
923.8616	11093
926.2347	11251
928.6071	11111
930.979	11156
933.3541	11140
935.7247	11059
938.0946	11294
940.4639	11440
942.8326	11573
945.2026	11518
947.5701	11654
949.9369	11813
952.305	12147
954.6705	12162
957.0355	12657
959.4017	12926
961.7654	12874
964.1284	12951
966.4908	12785
968.8527	12260
971.2138	12189
973.5743	11733
975.9343	11466
978.2936	11350
980.6522	11249
983.0122	11312
985.3696	11137
987.7245	11021
990.0807	11158
992.4362	11094
994.7911	11171
997.1474	11129
999.4991	11069
1001.852	11312
1004.205	11219
1006.555	11108
1008.908	11271
1011.258	11135
1013.606	11141
1015.956	11190
1018.302	11327
1020.652	11295
1022.998	11202
1025.345	11302
1027.691	11209
1030.035	11254
1032.378	11332
1034.724	11364
1037.066	11382
1039.409	11336
1041.75	11278
1044.092	11343
1046.433	11390
1048.771	11398
1051.112	11450
1053.449	11190
1055.786	11361
1058.124	11299
1060.462	11454
1062.797	11239
1065.131	11508
1067.467	11423
1069.8	11523
1072.135	11452
1074.467	11496
1076.798	11455
1079.129	11487
1081.459	11474
1083.792	11584
1086.121	11677
1088.449	11362
1090.777	11494
1093.104	11416
1095.431	11403
1097.759	11400
1100.084	11478
1102.408	11610
1104.732	11381
1107.056	11468
1109.379	11481
1111.701	11478
1114.022	11522
1116.343	11397
1118.664	11391
1120.983	11423
1123.303	11367
1125.621	11400
1127.939	11530
1130.256	11430
1132.573	11476
1134.889	11515
1137.205	11449
1139.52	11444
1141.832	11582
1144.146	11449
1146.461	11427
1148.771	11406
1151.083	11462
1153.392	11578
1155.703	11412
1158.011	11681
1160.323	11349
1162.629	11419
1164.938	11418
1167.243	11521
1169.55	11381
1171.857	11174
1174.163	11626
1176.466	11450
1178.769	11468
1181.073	11479
1183.374	11588
1185.677	11438
1187.979	11566
1190.279	11402
1192.578	11443
1194.878	11316
1197.178	11481
1199.476	11313
1201.772	11487
1204.068	11417
1206.366	11578
1208.663	11583
1210.957	11593
1213.251	11565
1215.544	11614
1217.836	11449
1220.128	11683
1222.421	11504
1224.712	11558
1227.002	11611
1229.292	11599
1231.581	11727
1233.871	11656
1236.159	11917
1238.446	11698
1240.732	11794
1243.018	11875
1245.304	11856
1247.59	11798
1249.874	11691
1252.156	11903
1254.439	11896
1256.721	11701
1259.005	11758
1261.286	11994
1263.565	11962
1265.845	11720
1268.125	11749
1270.403	11953
1272.682	11863
1274.959	11802
1277.234	11958
1279.511	11765
1281.787	11701
1284.062	11568
1286.337	11878
1288.609	11801
1290.882	11718
1293.153	11695
1295.428	11652
1297.698	11565
1299.969	11626
1302.237	11541
1304.507	11652
1306.777	11642
1309.044	11656
1311.312	11597
1313.578	11697
1315.844	11798
1318.109	11685
1320.375	11815
1322.638	11629
1324.903	11570
1327.165	11652
1329.427	11734
1331.69	11655
1333.952	11752
1336.212	11632
1338.471	11765
1340.73	11581
1342.988	11674
1345.248	11655
1347.505	11615
1349.763	11672
1352.019	11491
1354.274	11751
1356.53	11822
1358.784	11795
1361.038	11779
1363.291	11682
1365.543	11748
1367.797	11696
1370.048	11679
1372.296	11838
1374.546	11628
1376.796	11920
1379.045	11870
1381.295	11650
1383.542	11593
1385.787	11686
1388.034	11640
1390.28	11760
1392.527	11730
1394.772	11778
1397.014	11799
1399.258	11804
1401.501	11662
1403.741	11928
1405.985	11824
1408.226	11758
1410.465	11832
1412.705	11743
1414.943	11873
1417.184	11992
1419.42	11850
1421.658	11867
1423.894	11982
1426.13	11896
1428.366	12040
1430.602	11887
1432.835	12050
1435.069	12116
1437.301	12025
1439.535	12060
1441.767	12130
1443.997	12097
1446.229	12118
1448.458	12155
1450.687	12072
1452.916	12114
1455.146	12232
1457.372	12219
1459.599	12195
1461.824	12027
1464.051	12042
1466.277	12108
1468.501	12025
1470.725	12059
1472.948	12004
1475.17	12034
1477.393	12002
1479.614	12017
1481.837	11958
1484.057	11770
1486.276	11884
1488.497	11916
1490.715	11766
1492.932	11680
1495.148	11666
1497.364	11759
1499.58	11672
1501.798	11631
1504.012	11844
1506.227	11788
1508.44	11666
1510.653	11707
1512.866	11669
1515.078	11654
1517.289	11772
1519.5	11794
1521.711	11712
1523.92	11852
1526.13	11792
1528.338	11588
1530.544	11419
1532.752	11778
1534.959	11896
1537.165	11773
1539.371	11821
1541.574	11765
1543.779	11641
1545.983	11691
1548.187	11770
1550.39	11858
1552.59	11942
1554.792	11912
1556.991	11950
1559.19	12015
1561.392	11852
1563.59	11960
1565.789	12068
1567.986	11913
1570.182	11941
1572.381	11952
1574.576	11960
1576.771	12033
1578.966	11877
1581.16	12077
1583.354	11970
1585.546	12051
1587.74	12048
1589.931	12171
1592.121	12127
1594.311	12100
1596.502	12063
1598.693	11988
1600.881	12107
1603.069	12205
1605.256	12098
1607.445	12032
1609.631	12070
1611.816	12079
1614.001	12043
1616.186	12133
1618.37	12095
1620.555	12219
1622.737	12097
1624.919	12198
1627.101	12143
1629.282	12013
1631.463	11983
1633.643	12197
1635.822	12112
1638.001	12125
1640.179	12118
1642.359	12295
1644.534	12262
1646.711	12205
1648.887	12157
1651.062	12053
1653.235	12095
1655.412	12182
1657.586	12008
1659.757	12234
1661.93	12377
1664.1	12308
1666.274	12382
1668.445	12129
1670.614	12193
1672.784	12141
1674.951	12172
1677.12	12208
1679.289	12077
1681.457	12089
1683.622	12160
1685.789	12227
1687.953	12207
1690.121	12175
1692.284	12187
1694.447	12008
1696.611	12086
1698.772	12187
1700.935	11958
1703.098	12023
1705.258	12064
1707.417	11965
1709.576	12196
1711.736	11922
1713.896	12086
1716.053	12114
1718.21	11949
1720.366	11894
1722.522	12140
1724.68	11925
1726.835	12068
1728.989	12056
1731.142	11987
1733.295	11950
1735.449	12028
1737.601	11846
1739.753	11904
1741.903	12160
1744.054	12092
1746.203	12000
1748.354	12030
1750.503	12111
1752.651	11976
1754.798	12033
1756.944	12202
1759.092	12019
1761.238	12042
1763.383	12056
1765.528	12241
1767.672	12026
1769.814	12072
1771.959	12095
1774.102	11936
1776.242	12271
1778.384	12193
1780.525	11959
1782.665	12122
1784.805	12112
1786.945	12240
1789.082	12191
1791.22	12007
1793.36	12141
1795.495	12189
1797.632	12251
1799.766	12190
1801.902	12164
1804.035	12189
1806.172	12211
1808.304	12180
1810.436	12233
1812.569	11952
1814.699	12109
1816.833	12044
1818.963	12259
1821.092	11938
1823.222	12131
1825.35	12337
1827.478	12275
1829.608	12064
1831.734	12117
1833.86	11993
1835.986	12022
1838.11	11969
1840.238	12167
1842.362	12073
1844.485	11926
1846.608	12135
1848.73	11907
1850.853	11933
1852.974	11875
1855.097	12016
1857.217	11965
1859.336	11807
1861.455	11930
1863.576	11965
1865.693	11936
1867.811	11923
1869.926	12034
1872.042	11996
1874.16	12029
1876.275	11991
1878.39	11935
1880.504	12053
1882.618	11857
1884.731	12021
1886.843	11897
1888.956	11974
1891.067	12214
1893.178	12078
1895.287	11939
1897.399	12049
1899.508	12137
1901.617	12072
1903.724	12053
1905.832	12159
1907.941	12108
1910.046	12129
1912.152	12151
1914.256	12148
1916.361	12241
1918.464	12074
1920.57	12155
1922.672	12174
1924.775	12174
1926.876	12199
1928.978	12206
1931.08	12149
1933.181	12112
1935.28	12202
1937.38	11971
1939.478	12105
1941.577	12221
1943.675	12202
1945.771	12057
1947.867	12170
